year,month,region_code,region_name,npd_total,npd_physical,npd_ie
2020,3,00,Российская Федерация,563772,509232,54540
2020,3,36,Воронежская область,6156,5661,495
2020,3,40,Калужская область,9309,8471,838
2020,3,50,Московская область,92388,83173,9215
2020,3,77,г.Москва,255762,228360,27402
2020,3,47,Ленинградская область,5772,5111,661
2020,3,78,г.Санкт-Петербург,25634,23446,2188
2020,3,83,Ненецкий автономный округ,146,130,16
2020,3,34,Волгоградская область,6522,5879,643
2020,3,61,Ростовская область,10944,9905,1039
2020,3,02,Республика Башкортостан,9400,8513,887
2020,3,16,Республика Татарстан (Татарстан),65827,62503,3324
2020,3,52,Нижегородская область,7354,6700,654
2020,3,59,Пермский край,6452,5794,658
2020,3,63,Самарская область,11895,10900,995
2020,3,66,Свердловская область,12308,10959,1349
2020,3,72,Тюменская область,4491,3968,523
2020,3,74,Челябинская область,7621,6804,817
2020,3,86,Ханты-Мансийский автономный округ - Югра,3171,2819,352
2020,3,89,Ямало-Ненецкий автономный округ,1006,936,70
2020,3,24,Красноярский край,7070,6276,794
2020,3,54,Новосибирская область,8909,7989,920
2020,3,55,Омская область,4842,4242,600
2020,3,65,Сахалинская область,793,693,100
2020,6,00,Российская Федерация,770710,702493,68217
2020,6,36,Воронежская область,10091,9354,737
2020,6,40,Калужская область,10880,9933,947
2020,6,50,Московская область,113567,102468,11099
2020,6,77,г.Москва,323449,292029,31420
2020,6,47,Ленинградская область,9724,8781,943
2020,6,78,г.Санкт-Петербург,48790,44957,3833
2020,6,83,Ненецкий автономный округ,267,240,27
2020,6,34,Волгоградская область,10592,9666,926
2020,6,61,Ростовская область,20241,18485,1756
2020,6,02,Республика Башкортостан,15733,14398,1335
2020,6,16,Республика Татарстан (Татарстан),76115,72384,3731
2020,6,52,Нижегородская область,12967,11890,1077
2020,6,59,Пермский край,10824,9866,958
2020,6,63,Самарская область,20470,19009,1461
2020,6,66,Свердловская область,21705,19713,1992
2020,6,72,Тюменская область,8002,7279,723
2020,6,74,Челябинская область,12777,11528,1249
2020,6,86,Ханты-Мансийский автономный округ - Югра,5573,5093,480
2020,6,89,Ямало-Ненецкий автономный округ,1751,1619,132
2020,6,24,Красноярский край,11973,10861,1112
2020,6,54,Новосибирская область,16032,14677,1355
2020,6,55,Омская область,7631,6850,781
2020,6,65,Сахалинская область,1556,1413,143
2020,9,00,Российская Федерация,1143009,1047802,95207
2020,9,31,Белгородская область,3235,2872,363
2020,9,32,Брянская область,2218,2005,213
2020,9,33,Владимирская область,2493,2217,276
2020,9,36,Воронежская область,14347,13394,953
2020,9,37,Ивановская область,1898,1755,143
2020,9,40,Калужская область,12861,11779,1082
2020,9,44,Костромская область,1020,913,107
2020,9,46,Курская область,1650,1474,176
2020,9,48,Липецкая область,2389,2153,236
2020,9,50,Московская область,137762,124684,13078
2020,9,57,Орловская область,1475,1320,155
2020,9,62,Рязанская область,2338,2182,156
2020,9,67,Смоленская область,1639,1514,125
2020,9,68,Тамбовская область,660,595,65
2020,9,69,Тверская область,2659,2444,215
2020,9,71,Тульская область,3265,2889,376
