region,total,physical_persons,individual_entrepreneurs,date
Russian Federation,6561475,6223063,338412,2023-01-01
Moscow,1235241,,,2023-01-01
Moscow Oblast,481084,,,2023-01-01
Voronezh Oblast,81676,,,2023-01-01
Tula Oblast,37028,,,2023-01-01
Vladimir Oblast,36290,,,2023-01-01
Kaluga Oblast,44930,,,2023-01-01
Tver Oblast,39684,,,2023-01-01
Yaroslavl Oblast,44332,,,2023-01-01
Bryansk Oblast,28692,,,2023-01-01
Ryazan Oblast,29239,,,2023-01-01
Smolensk Oblast,21930,,,2023-01-01
Tambov Oblast,19326,,,2023-01-01
Ivanovo Oblast,25712,,,2023-01-01
Kursk Oblast,26751,,,2023-01-01
Orel Oblast,20658,,,2023-01-01
Kostroma Oblast,15017,,,2023-01-01
Belgorod Oblast,42670,,,2023-01-01
Lipetsk Oblast,17782,,,2023-01-01
St. Petersburg,430380,,,2023-01-01
Leningrad Oblast,72266,,,2023-01-01
Kaliningrad Oblast,46034,,,2023-01-01
Vologda Oblast,29392,,,2023-01-01
Karelia Republic,20993,,,2023-01-01
Komi Republic,19804,,,2023-01-01
Murmansk Oblast,19828,,,2023-01-01
Novgorod Oblast,17913,,,2023-01-01
Pskov Oblast,17022,,,2023-01-01
Arkhangelsk Oblast,12708,,,2023-01-01
Nenets Autonomous Okrug,1187,,,2023-01-01
Rostov Oblast,184203,,,2023-01-01
Krasnodar Krai,292954,,,2023-01-01
Volgograd Oblast,87016,,,2023-01-01
Astrakhan Oblast,36590,,,2023-01-01
Crimea Republic,82750,,,2023-01-01
Sevastopol,18876,,,2023-01-01
Adygea Republic,13731,,,2023-01-01
Kalmykia Republic,6854,,,2023-01-01
Dagestan Republic,211554,,,2023-01-01
Chechnya Republic,96586,,,2023-01-01
Stavropol Krai,86690,,,2023-01-01
Kabardino-Balkaria Republic,55926,,,2023-01-01
North Ossetia-Alania Republic,25247,,,2023-01-01
Karachay-Cherkessia Republic,15281,,,2023-01-01
Ingushetia Republic,9633,,,2023-01-01
Tatarstan Republic,234307,,,2023-01-01
Samara Oblast,153773,,,2023-01-01
Bashkortostan Republic,125499,,,2023-01-01
Nizhny Novgorod Oblast,116877,,,2023-01-01
Perm Krai,101070,,,2023-01-01
Orenburg Oblast,59104,,,2023-01-01
Saratov Oblast,67682,,,2023-01-01
Udmurtia Republic,46233,,,2023-01-01
Chuvashia Republic,36211,,,2023-01-01
Penza Oblast,31790,,,2023-01-01
Ulyanovsk Oblast,39167,,,2023-01-01
Mari El Republic,16373,,,2023-01-01
Mordovia Republic,14881,,,2023-01-01
Kirov Oblast,33413,,,2023-01-01
Sverdlovsk Oblast,182205,,,2023-01-01
Chelyabinsk Oblast,130023,,,2023-01-01
Tyumen Oblast,72699,,,2023-01-01
Khanty-Mansiysk Autonomous Okrug,52921,,,2023-01-01
Kurgan Oblast,20110,,,2023-01-01
Yamalo-Nenets Autonomous Okrug,14004,,,2023-01-01
Novosibirsk Oblast,137377,,,2023-01-01
Krasnoyarsk Krai,112701,,,2023-01-01
Irkutsk Oblast,80243,,,2023-01-01
Omsk Oblast,70398,,,2023-01-01
Kemerovo Oblast,67340,,,2023-01-01
Altai Krai,68573,,,2023-01-01
Tomsk Oblast,38535,,,2023-01-01
Khakassia Republic,15178,,,2023-01-01
Tuva Republic,10792,,,2023-01-01
Altai Republic,7840,,,2023-01-01
Primorsky Krai,57633,,,2023-01-01
Khabarovsk Krai,44099,,,2023-01-01
Sakha (Yakutia) Republic,29862,,,2023-01-01
Zabaykalsky Krai,19583,,,2023-01-01
Amur Oblast,19208,,,2023-01-01
Buryatia Republic,21603,,,2023-01-01
Sakhalin Oblast,14301,,,2023-01-01
Kamchatka Krai,7846,,,2023-01-01
Magadan Oblast,4029,,,2023-01-01
Jewish Autonomous Oblast,3447,,,2023-01-01
Chukotka Autonomous Okrug,734,,,2023-01-01
