variable,coef,se,p
wage_growth,0.03202476070892302,0.00732617755476606,1.2352125071187671e-05
dw_x_informal,0.057381629305377296,0.019268879828331704,0.0029018977419444578
dw_x_post,-0.002683305663957149,0.01716342360167136,0.8757661298434277
dw_x_informal_x_post,-0.01667357092056673,0.038922864460920886,0.6683783313472167
dw_x_primary,0.05621693466392534,0.011251327010547724,5.838880205174587e-07
dw_x_inf_x_primary,-0.02409792493311839,0.03722860344824912,0.5174404100844117
dw_x_post_x_primary,0.019168498976544848,0.02840471074590658,0.4997804667263305
dw_x_inf_x_post_x_primary,-0.04060983312187325,0.06357923719523469,0.5229999545700939
is_informal,-0.008237805126609692,0.00824526493873059,0.3177485465940535
post_npd_int,0.0054072720546577855,0.022231488105148783,0.8078304613259157
informal_x_post,-0.0008417923041236552,0.019865974072792975,0.9662008950512746
is_primary,-0.03323668743088131,0.004211940101971453,2.9962178335076858e-15
inf_x_primary,0.004638701391270951,0.009615656278399665,0.629513784633846
post_x_primary,-0.004342516680730155,0.009159929991940563,0.6354446450919701
inf_x_post_x_primary,0.012111393756237272,0.020880864513481017,0.5618987175450113
