event_time,group,beta,se,ci_lo,ci_hi,N
-5,Formal,0.08971804320020932,0.020657264717616593,0.049229804353680795,0.13020628204673784,4892
-5,Informal,0.19479205359990226,0.05758085939187837,0.08193356919182065,0.30765053800798386,728
-4,Formal,0.09210342945026394,0.013891583908998488,0.0648759249886269,0.11933093391190097,4927
-4,Informal,0.11492230159970063,0.05726659847934493,0.002679768580184566,0.2271648346192167,759
-3,Formal,0.08583726304764848,0.019178006980939685,0.0482483693650067,0.12342615673029025,4944
-3,Informal,0.2067925574730793,0.08537477437891826,0.03945799969039954,0.3741271152557591,755
-2,Formal,0.05452338243452836,0.013278386531896075,0.02849774483201205,0.08054902003704467,4894
-2,Informal,0.060820563622519704,0.03555428637445024,-0.008865837671402761,0.13050696491644218,731
-1,Formal,0.06121270882555734,0.015025690058110563,0.03176235631166064,0.09066306133945404,4827
-1,Informal,0.02110922815372589,0.047695953595674814,-0.07237484089379674,0.11459329720124851,781
0,Formal,0.048502440482482055,0.0200601945286464,0.009184459206335108,0.087820421758629,4750
0,Informal,0.06476685836964739,0.04364861622095111,-0.02078442942341678,0.15031814616271155,685
1,Formal,0.0646885642863294,0.024321074400646406,0.01701925846106244,0.11235787011159634,4721
1,Informal,0.03549726985399626,0.044505320112749075,-0.05173315756699193,0.12272769727498445,693
2,Formal,0.05695101290502044,0.026681556893354687,0.00465516139404526,0.10924686441599563,4664
2,Informal,0.05733543098433721,0.04241035114153541,-0.025788857253072194,0.1404597192217466,621
3,Formal,0.10960666101150217,0.017901499252002705,0.07451972247757688,0.14469359954542746,4735
3,Informal,0.1493009606849643,0.0413313115490721,0.06829159004878298,0.2303103313211456,659
4,Formal,0.08282287430724872,0.026820659812841145,0.030254381074080072,0.13539136754041736,977
4,Informal,0.056913674892620565,0.07779136682505469,-0.09555740408448662,0.20938475386972774,80
