event_time,gap,gap_se,N_formal,N_informal
-5,0.10507401039969294,0.06117416083544551,4892,728
-4,0.02281887214943669,0.05892740792615315,4927,759
-3,0.12095529442543083,0.08750227455336329,4944,755
-2,0.006297181187991344,0.03795290276759944,4894,731
-1,-0.04010348067183145,0.050006753055194135,4827,781
0,0.016264417887165337,0.048037621740995996,4750,685
1,-0.029191294432333134,0.050717237487269015,4721,693
2,0.0003844180793167659,0.050105322693319285,4664,621
3,0.03969429967346212,0.045041547373907066,4735,659
4,-0.025909199414628152,0.08228514170435858,977,80
