industry_code,industry_label,sector_type,beta_pre,beta_change,se_change,p_change,N
1,Code 1,Oth,0.14445965862504787,-0.26829689364991277,0.10277160623033377,0.009038010105029585,341
2,Machine Construction,B2B,0.532826876091613,-0.8080995159642033,0.22680622951845303,0.00036670894122327286,46
6,Construction,B2B,0.13356602630625058,-0.1065495854154796,0.061646694352208986,0.08391816621564903,630
7,Transport/Communication,B2B,0.16457543103818312,0.003424651084427563,0.1170681760428232,0.9766624317373912,530
8,Agriculture,Ind,0.06826080207106794,1.1521746931711998,0.9366897761566857,0.21867860814369777,104
10,Education,Ind,0.11237319167153427,0.12919427820274548,0.199077360151387,0.51636087202484,57
11,Code 11,Oth,0.21781756499637892,-3.8932848609552817,1.319307608927015,0.0031674061552364637,39
12,Public Health,Ind,0.24653146562567727,-0.06476695643278228,0.20089117764325162,0.7471510387660951,57
13,Code 13,Oth,0.12858217741206482,-0.29388932952872393,0.43231454687525755,0.49662832266342993,103
14,Trade/Consumer Services,Ind,0.10115667036179044,-0.022905145458335375,0.06169649219064214,0.710447439419448,1782
15,Finances,B2B,0.5737675414925464,-0.6605697920955698,0.5569715830262204,0.23562123978095884,32
17,Housing/Communal,Ind,0.19950068786949784,-0.12141638122003312,0.25640979287885196,0.6358388527546343,64
18,Real Estate,B2B,0.07502677853029109,0.3293158763164491,0.36118215769051604,0.36188860999103567,54
24,Code 24,Oth,0.13892612568979842,-0.5214439387122025,0.037509575583036414,6.192208357009445e-44,41
26,Services to Public,Ind,0.37510909261196396,-0.2590416268322547,0.33079129614386227,0.4335702322695446,53
99999997,Code 99999997,Oth,0.07966978972797831,1.398999156416085,0.4339726176113512,0.0012654423759271886,31
