ter_lab,N,N_individuals,Informality_rate,Mean_consumption
Moscow city,22227,3921,0.14291991651104033,34796.30956325052
Krasnodarskiy krai,15280,2133,0.13108086970123572,23493.346684161035
Moscow oblast,14443,2393,0.1509516199331687,32557.23528784303
Krasnoyarskiy krai,13023,2296,0.1873987398739874,21110.9422003031
Chelyabinskaya oblast,12248,1970,0.22271386430678466,19818.99452792407
Altayskiy krai,11892,1768,0.160282995852647,14050.145555649122
Komi republic,11680,2700,0.08322937087863126,28472.961867010603
Saratovskaya oblast,10983,1698,0.16428018575851394,17043.492004930158
Kabardino-Balkarskaya republic,8903,1132,0.2373134328358209,15872.749021909232
Tatarstan republic,8101,1019,0.21918542336548769,25998.680039128467
Lipetskaya oblast,8059,1106,0.10242972844211529,19605.474559444032
Nizhegorodskaya oblast,7709,1101,0.2112676056338028,27450.79069858202
St. Petersburg,7649,1603,0.15865921787709497,29594.708689462423
Permskaya oblast,7298,994,0.10191812195820212,23514.799861015865
Orenburgskaya oblast,7274,1133,0.1872722175497617,16428.82772693032
Stavropolskiy krai,7229,954,0.19075785582255084,19968.045240869164
Volgogradskaya oblast,6996,964,0.08185053380782918,12926.084544190286
Chuvashskaya republic,6984,876,0.07350238882763689,15617.595812973077
Udmurtskaya republic,6963,975,0.12230652503793626,15393.669899369253
Tomskaya oblast,6883,1261,0.2672645739910314,22470.91278343023
Amurskaya oblast,6679,904,0.0842506350550381,16828.710333031035
Rostovskaya oblast,6517,1408,0.15234497954044696,28044.83256398444
Tambovskaya oblast,6038,766,0.18082295205738014,15648.248135256092
Tulskaya oblast,5852,1170,0.12426686217008798,21832.76912477043
Leningradskaya oblast,5669,900,0.13747954173486088,22402.34564783661
Tverskaya oblast,5625,667,0.09174679487179487,19950.17663817664
Primorskiy krai,5211,1080,0.1759935117599351,29106.846921644188
Penzenskaya oblast,5208,586,0.08227848101265822,13217.391529389017
Tyumenskaya oblast,5107,852,0.208911307271963,21724.220116248693
Kurganskaya oblast,5040,1126,0.2080536912751678,18618.670002645504
Kaluzhskaya oblast,5017,663,0.0813047711781889,14157.131899368478
Smolenskaya oblast,4298,1161,0.11794019933554817,19096.73762259466
