Specification,Variable,Coefficient,SE,p_value,N,R2
ols,wage_growth,0.059562150814696124,0.005320306814772427,4.301999003615212e-29,73435,0.0072828105634358264
ols,dw_x_informal,0.047543915447475535,0.013292052173439838,0.00034773571852630795,73435,0.0072828105634358264
ols,dw_x_post,0.009378209767865662,0.01120464627337734,0.40259653939219453,73435,0.0072828105634358264
ols,dw_x_informal_x_post,-0.04179917887538505,0.036119947349760304,0.24717736133289692,73435,0.0072828105634358264
fe,wage_growth,0.061788278282079626,0.006774431793931166,0.0,73435,0.0034076334074235604
fe,dw_x_informal,0.044060568241031106,0.020460496355204725,0.031287786503778836,73435,0.0034076334074235604
fe,dw_x_post,-0.0007990792079123625,0.014342953636185877,0.9555711780931002,73435,0.0034076334074235604
fe,dw_x_informal_x_post,-0.033779093701594924,0.045830849139882335,0.4611020146055196,73435,0.0034076334074235604
switchers,wage_growth,0.07938163008561143,0.01673780504082935,2.1338643427792903e-06,14103,0.005532213021877008
switchers,dw_x_informal,0.01485684984275141,0.022903953488114578,0.5165714976995033,14103,0.005532213021877008
